uniqueid,lon,lat,event_start,p,literacyRate,workerPop_main,police_proximity,postal_proximity,hospital_proximity,university_proximity,college_proximity,school_proximity,police_density,postal_density,hospital_density,university_density,college_density,school_density
281455292,93.5,26,20140101,956313,0.416999529,0.133047222,0.264966482,0.378644089,0.380195123,0.258315026,0.387283231,0.274794427,0,0,0,0,0,0
281455719,92.7333,22.8833,20140101,161428,0.815820352,0.629513031,0.728561041,0.916995313,0.752240115,0.807777705,0.762438021,0.727662503,0,0,0,0,0,0
281465121,92.4833,23.9333,20140101,86364,0.73599367,0.840088436,0.398279615,0.772921351,0.354121159,0.499913849,0.372357479,0.414479915,0,0,0,0,0,0
281465122,92,24,20140101,378230,0.752075849,0.179403833,0.303576969,0.810651799,0.421692738,0.45805413,0.436558599,0.298289734,0,0,0,0,0,0
281470276,92.7175,23.7244,20140101,400309,0.999473738,0.554627115,0.472576247,0.784196468,0.419505987,0.57694438,0.43552971,0.488490873,0,0,0,0,0,0
281480178,94.25,26,20140101,267988,0.742122292,0.531499302,0.319390838,0.303904585,0.158491861,0.344056951,0.168282154,0.14917961,0,0,0,0,0,0
281511218,93.7833,26.0167,20140101,956313,0.416999529,0.133047222,0.297109313,0.345169297,0.286794465,0.307493347,0.299275054,0.190619977,0,0,0,0,0,0
281646956,94.9028,27.4817,20140103,1326335,0.555260666,0.182041339,0.130861647,0.042770087,0.122125193,0.084288248,0.002918944,0.132127113,0,0,0,0,0.25,0
281670010,95.8,27.1667,20140103,148226,0.224831829,0.477991733,0.117753258,0.102311639,0.182621535,0.248899672,0.181478128,0.197414066,0,0,0,0,0,0
281671285,90.2718,26.399,20140103,887142,0.335042213,0.184710061,0.601431683,0.810873964,0.503328429,0.018275487,0.537716072,0.597244609,0,0,0,0.2,0,0
281672674,95.5667,27.0167,20140103,111975,0.069863923,0.729924413,0.178953477,0.095033598,0.155772388,0.244367949,0.156136573,0.166548152,0,0,0,0,0,0
281753253,94.9028,27.4817,20140104,1326335,0.555260666,0.182041339,0.130861647,0.042770087,0.122125193,0.084288248,0.002918944,0.132127113,0,0,0,0,0.25,0
281753301,94.25,26,20140104,267988,0.742122292,0.531499302,0.319390838,0.303904585,0.158491861,0.344056951,0.168282154,0.14917961,0,0,0,0,0,0
281756712,93.7333,25.9,20140104,378811,0.733086974,0.320016426,0.334737295,0.366484874,0.324410119,0.320329285,0.336591003,0.171857554,0,0,0,0,0,0
281762452,93.7167,25.3,20140104,140651,0.433332568,0.653680777,0.264622956,0.456524524,0.313017538,0.456059501,0.306066212,0.231369455,0,0,0,0,0,0
281767896,90.5,25.5,20140104,317917,0.512516953,0.130375822,0.589531831,0.833785348,0.488780995,0.279605484,0.522952334,0.554296319,0,0,0,0,0,0
281770198,94.5167,25.9667,20140104,140757,0.742698583,0.456649983,0.355615038,0.290350159,0.140153772,0.383120635,0.143532941,0.158009004,0,0,0,0,0,0
281773211,94.2167,26.75,20140104,1092256,0.679377015,0.232271243,0,0.201983836,0.004653374,0.15759232,0,0.002986787,1,0,0.375,0,1,0.19047619
281779151,91.7333,26.1833,20140104,1253938,0.812922813,0.29334266,0.005069589,0.600481798,0.001222717,0.164136291,0.011323447,0.007749201,0.666666667,0,0.375,0,0.25,0.142857143
281799114,91.275,23.8364,20140104,1725739,0.812502088,0.200374205,0.000281434,0.911476814,0.66390666,0.529687903,0.675946226,0,1,0,0,0,0,0.19047619
281830221,95.8,27.1667,20140105,148226,0.224831829,0.477991733,0.117753258,0.102311639,0.182621535,0.248899672,0.181478128,0.197414066,0,0,0,0,0,0
281830711,93.5,26,20140105,956313,0.416999529,0.133047222,0.264966482,0.378644089,0.380195123,0.258315026,0.387283231,0.274794427,0,0,0,0,0,0
281847934,90.5,25.5,20140105,317917,0.512516953,0.130375822,0.589531831,0.833785348,0.488780995,0.279605484,0.522952334,0.554296319,0,0,0,0,0,0
281860908,91.7333,26.1833,20140105,1253938,0.812922813,0.29334266,0.005069589,0.600481798,0.001222717,0.164136291,0.011323447,0.007749201,0.666666667,0,0.375,0,0.25,0.142857143
281871388,92.8,24.8167,20140105,1736617,0.622257013,0.113083744,0.001938072,0.613767312,0.004512503,0.321349577,0.004100854,0.003878139,1,0,0.625,0,0.25,0.047619048
281917292,95.65,27.35,20140106,1327929,0.425228809,0.262338115,0.129464958,0.065645538,0.107819823,0.185608864,0.094256162,0.118608102,0,0,0,0,0,0
281930136,91.275,23.8364,20140106,1725739,0.812502088,0.200374205,0.000281434,0.911476814,0.66390666,0.529687903,0.675946226,0,1,0,0,0,0,0.19047619
281930139,93.7167,25.3,20140106,140651,0.433332568,0.653680777,0.264622956,0.456524524,0.313017538,0.456059501,0.306066212,0.231369455,0,0,0,0,0,0
281939959,93.7833,26.0167,20140106,956313,0.416999529,0.133047222,0.297109313,0.345169297,0.286794465,0.307493347,0.299275054,0.190619977,0,0,0,0,0,0
281968306,94.6333,26.9833,20140106,1151050,0.644036632,0.101046699,0.141641004,0.124167041,0.175422767,0.225936984,0.173754529,0.003960812,0,0,0,0,0,0.095238095
282032863,94.1167,25.6667,20140106,267988,0.742122292,0.531499302,0.410880364,0.366916464,0.295730979,0.425453337,0.304376413,0.013246088,0,0,0,0,0,0.047619048
282041823,93.7833,26.0167,20140107,956313,0.416999529,0.133047222,0.297109313,0.345169297,0.286794465,0.307493347,0.299275054,0.190619977,0,0,0,0,0,0
282073486,93,23,20140107,161428,0.815820352,0.629513031,0.797728797,0.879494765,0.709516437,0.79780973,0.709145046,0.79252474,0,0,0,0,0,0
282079553,91.7889,26.1425,20140107,1253938,0.812922813,0.29334266,0.01061846,0.595292641,0.02270395,0.149551685,0.011657818,0.024915267,0.666666667,0,0.25,0,0.25,0.142857143
282086718,92,24,20140107,378230,0.752075849,0.179403833,0.303576969,0.810651799,0.421692738,0.45805413,0.436558599,0.298289734,0,0,0,0,0,0
282094540,92.7667,24.8667,20140107,1736617,0.622257013,0.113083744,0.017555065,0.610179917,0.016850356,0.305126638,0.016426292,0.021085949,0.666666667,0,0.625,0,0.25,0.047619048
